source	commit	parents	author_date	subject
github-preferred	05552e8fd9c3682d259dc5fb0093c5dcbb9e4b8b	b4602630d0166bff007ac8f00c05342f6164540e	2026-08-16T18:35:59-07:00	Finalize heritage content and responsive polish
github-preferred	b4602630d0166bff007ac8f00c05342f6164540e	1e79bd7a0324b905b4d37cdedd3f6cfabef4b953	2026-08-16T09:57:29-07:00	Complete launch-ready site and mobile pass
github-preferred	1e79bd7a0324b905b4d37cdedd3f6cfabef4b953	7a289adfd5b1362a1f54a5d1093e2cb363550608	2026-08-08T13:28:34-07:00	Publish updated site content and experiences
github-preferred	ddc18eac406edb8b14e381bfe522a9d0ca72e943	798a0d53471f9353641d008078119da45b2aaea9	2026-08-03T15:41:39-07:00	Refresh homepage commercial laundry copy
github-preferred	798a0d53471f9353641d008078119da45b2aaea9	c0d92bdd768122bf4500ab8eeadce999c7fd72b1	2026-07-29T13:19:58-07:00	Integrate pricing estimator v2.3
github-preferred	c0d92bdd768122bf4500ab8eeadce999c7fd72b1	10a5091e12dfd84382f0a2ad6136af89b297669d	2026-07-29T15:55:40-07:00	Publish complete local site snapshot
github-preferred	10a5091e12dfd84382f0a2ad6136af89b297669d	7a289adfd5b1362a1f54a5d1093e2cb363550608	2026-07-29T14:29:15-07:00	Add Who We Serve tailored concept
github-preferred	e60f15072886f81776fb44efd418cf2c15885bff	ef57e2fa61881135be7c6d67f0af4ba7f83d4021	2026-07-24T16:23:51-07:00	Connect pricing journey to estimator v2
github-preferred	7a289adfd5b1362a1f54a5d1093e2cb363550608	8f27aadbd6716223c7a5936762e2d9168d6a2497	2026-07-22T16:26:06-07:00	Rebuild core site experiences and About timeline
github-preferred	10190c8bcf16511c1ae14abf5ffd2bae394137f3	04b7193bf0931f277c62e68920bcdd5a4b1480d1	2026-07-17T05:59:39-07:00	Publish refreshed Shelton website
github-preferred	ef57e2fa61881135be7c6d67f0af4ba7f83d4021	9835978b33b16a6af0ae29ab059efff24de96677	2026-07-12T12:39:20-05:00	Promote Pricing journey to website
github-preferred	9835978b33b16a6af0ae29ab059efff24de96677	8dc7058a00e204a0525e0b6cd53a230b97487140	2026-07-12T08:03:13-05:00	Polish Pricing and Estimate experience for release
github-preferred	8dc7058a00e204a0525e0b6cd53a230b97487140	2c70319dcf31648c75a9b36c3f217930d34b9dbe	2026-07-12T03:25:49-05:00	docs(pricing): record final atelier checkpoint
github-preferred	2c70319dcf31648c75a9b36c3f217930d34b9dbe	9149425200bf909a3e5ba6f23081437008008e87	2026-07-12T03:25:00-05:00	checkpoint(pricing): finalize private atelier pricing journey
github-preferred	8f27aadbd6716223c7a5936762e2d9168d6a2497	37b23000ade0e452a85c00a3a3e2108a639b8fd0	2026-07-12T00:58:06-05:00	Reduce pricing page copy repetition
github-preferred	37b23000ade0e452a85c00a3a3e2108a639b8fd0	43e42a2fa8cb7fc0cd752daf0a7debb0436e5cb0	2026-07-12T00:51:00-05:00	Refine pricing page spacing and background
github-preferred	43e42a2fa8cb7fc0cd752daf0a7debb0436e5cb0	9cfeefcf82781d2d3fa85c94d6a818e3a4c1f417	2026-07-12T00:32:45-05:00	Add pricing support vectors
github-preferred	9cfeefcf82781d2d3fa85c94d6a818e3a4c1f417	cc495a9e36617b123defe5f9e7bb4640d91261c8	2026-07-12T00:13:21-05:00	Remove pricing commitment section
github-preferred	cc495a9e36617b123defe5f9e7bb4640d91261c8	f0ec5720924bbbf899cdf30b94aaa99c6ef3e66b	2026-07-12T00:07:21-05:00	Revise pricing commitment section
github-preferred	f0ec5720924bbbf899cdf30b94aaa99c6ef3e66b	5582d41c30fec309236f70d3e1336b527f34cbcd	2026-07-11T17:10:46-05:00	Add premium pricing page polish
github-preferred	5582d41c30fec309236f70d3e1336b527f34cbcd	77fcc6ac9dc8fefe579034b517d17b7b9dc04903	2026-07-11T16:55:47-05:00	Revise pricing landing page hierarchy
github-preferred	77fcc6ac9dc8fefe579034b517d17b7b9dc04903	04b7193bf0931f277c62e68920bcdd5a4b1480d1	2026-07-11T16:33:24-05:00	Rebuild pricing page preview
github-preferred	9149425200bf909a3e5ba6f23081437008008e87	3c0d02d05068f94f6db8b67125261cf5f038f309	2026-07-11T05:44:27-05:00	docs(pricing): record final checkpoint status
github-preferred	3c0d02d05068f94f6db8b67125261cf5f038f309	542930fbc3ef5cedd5a8e7cf326588bdf13ca50d	2026-07-11T05:41:15-05:00	checkpoint(pricing): finalize adaptive journey preview
github-preferred	542930fbc3ef5cedd5a8e7cf326588bdf13ca50d	1bf6efb2a09a1ea26d63ab98db90d5e93e7cca0f	2026-07-11T05:06:42-05:00	docs(pricing): record checkpoint 6 status
github-preferred	1bf6efb2a09a1ea26d63ab98db90d5e93e7cca0f	706b484215b66a2d5a9d192f59c02d985b1808d4	2026-07-11T05:02:36-05:00	checkpoint(pricing): complete responsive accessibility and performance QA
github-preferred	706b484215b66a2d5a9d192f59c02d985b1808d4	2a3a1165ac8e6e9eaec30d55612945e01119a490	2026-07-11T04:14:05-05:00	docs(pricing): record checkpoint 5 status
github-preferred	2a3a1165ac8e6e9eaec30d55612945e01119a490	cd00833a5aebbc3559d926590c8acbb7bedaaad2	2026-07-11T04:10:38-05:00	checkpoint(pricing): complete review result and quote handoff
github-preferred	cd00833a5aebbc3559d926590c8acbb7bedaaad2	197886cc0302db99839541cb8bf03ff18cbdcf43	2026-07-11T03:21:54-05:00	docs(pricing): record checkpoint 4 status
github-preferred	197886cc0302db99839541cb8bf03ff18cbdcf43	1c7b408b76337657ad459fff3077838c0df53608	2026-07-11T03:17:41-05:00	checkpoint(pricing): complete adaptive program inputs
github-preferred	1c7b408b76337657ad459fff3077838c0df53608	339d8558fe3980c74e6e7afcf63259abcce15268	2026-07-11T01:41:25-05:00	docs(pricing): record checkpoint 3 status
github-preferred	339d8558fe3980c74e6e7afcf63259abcce15268	887e5cdab90c579b691db2d154c2779c1a12108c	2026-07-11T01:38:37-05:00	checkpoint(pricing): complete adaptive goods branches
github-preferred	887e5cdab90c579b691db2d154c2779c1a12108c	ae8b35a2588ecea96c06f29f76eaa9f4d1a378c2	2026-07-11T00:57:25-05:00	docs(pricing): record checkpoint 2 status
github-preferred	ae8b35a2588ecea96c06f29f76eaa9f4d1a378c2	8ebe04e25bddf257558017130e4a74213548033c	2026-07-11T00:55:21-05:00	checkpoint(pricing): complete landing and operation journey
github-preferred	8ebe04e25bddf257558017130e4a74213548033c	fce85988ab03eab1b66c04385158fcd7853859e4	2026-07-11T00:17:28-05:00	docs(pricing): record checkpoint 1 status
